X-Men Origins: Wolverine,2009,6.7,2.35,Action|Adventure|Fantasy|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
The Matrix Revolutions,2003,6.7,2.35,Action|Sci-Fi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Matrix Reloaded,2003,7.2,2.35,Action|Sci-Fi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thor: The Dark World,2013,7.1,2.35,Action|Adventure|Fantasy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mad Max: Fury Road,2015,8.1,2.35,Action|Adventure|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Angels & Demons,2009,6.7,2.35,Mystery|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Thor,2011,7,2.35,Action|Adventure|Fantasy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bolt,2008,6.9,1.85,Adventure|Animation|Comedy|Drama|Family,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Wrath of the Titans,2012,5.8,1.85,Action|Adventure|Fantasy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dark Shadows,2012,6.2,1.85,Comedy|Fantasy|Horror,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Mission: Impossible - Rogue Nation,2015,7.4,2.35,Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bee Movie,2007,6.2,1.85,Adventure|Animation|Comedy|Family,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda 2,2011,7.3,2.35,Action|Adventure|Animation|Comedy|Family,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
